moma_artist_id,artist_name,nationality,gender,born,dead
1,Robert Arneson,American,male,1930,1992.0
2,Doroteo Arnaiz,Spanish,male,1936,
3,Bill Arnold,American,male,1941,
4,Charles Arnoldi,American,male,1946,
5,Per Arnoldi,Danish,male,1941,
6,Danilo Aroldi,Italian,male,1925,
7,Bill Aron,American,male,1941,
9,David Aronson,American,male,1923,
10,Irene Aronson,American,female,1918,
11,Jean (Hans) Arp,French,male,1886,1966.0
12,Jüri Arrak,Estonian,male,1936,
13,J. Arrelano Fischer,Mexican,male,1911,1995.0
15,Folke Arstrom,Swedish,male,1907,1997.0
16,Cristobal Arteche,Spanish,male,1900,1964.0
18,Artko,,,,
19,Richard Artschwager,American,male,1923,2013.0
21,Ruth Asawa,American,female,1926,2013.0
22,Isidora Aschheim,Israeli,female,,
23,Charles Robert Ashbee,British,male,1863,1942.0
24,Donald Ashcraft,American,male,1927,
25,E. M. Ashe,American,male,1867,1941.0
26,Göran Åslin,Swedish,,1940,
27,Erik Gunnar Asplund,Swedish,male,1885,1940.0
28,Geneviève Asse,French,female,1923,
30,Sergio Asti,Italian,male,1926,
31,Dana Atchley,American,female,1941,2000.0
32,Atelier Eggers,French,,,
33,A.A.P.,American,,,
34,Alvar Aalto,Finnish,male,1898,1976.0
35,Aino Aalto,Finnish,female,1894,1949.0
36,Eero Aarnio,Finnish,male,1932,
37,Jules Aarons,American,male,1921,2008.0
38,Magdalena Abakanowicz,Polish,female,1930,2017.0
39,James Abbe,American,male,1883,1973.0
40,Jussuf Abbo,Palestinian,male,1888,1953.0
41,Berenice Abbott,American,female,1898,1991.0
42,Nobuya Abe,Japanese,male,1913,1971.0
43,Abe Shiro (pen Name: Suichiku),Japanese,male,1900,
44,Robert Abel,American,male,1937,
46,Sigmund Abeles,American,male,1934,
47,Raimund Abraham,American,male,1933,2010.0
49,Ivor Abrahams,British,male,1935,
50,Gerald Abramovitz,British,male,1928,2011.0
51,William Ross Abrams,American,male,1920,2007.0
52,Rodolfo Abularach,Guatemalan,male,1933,
53,Vito Acconci,American,male,1940,2017.0
54,Milton Ackoff,American,male,1915,
55,Norman Ackroyd,British,male,,
56,Luis Alberto Acuña,Colombian,male,1904,1994.0
57,Henri Georges Adam,French,male,1904,1967.0
58,Antoine Samuel Adam-Salomon,French,male,1818,1881.0
59,Valerio Adami,Italian,male,1935,
60,Ansel Adams,American,male,1902,1984.0
61,Alice Adams,American,female,1930,
62,Clinton Adams,American,male,1918,2002.0
63,Dacres Adams,British,male,1864,1951.0
64,Dennis Adams,American,male,1948,
65,Kenneth M. Adams,American,male,1897,1966.0
66,Robert Adams,American,male,1937,
67,Shelby Lee Adams,American,male,1950,
68,Charles Addams,American,male,1912,1988.0
69,Allan Adler,American,male,1916,2002.0
70,Jankel Adler,Polish,male,1895,1949.0
71,Virginia Admiral,American,female,1915,2000.0
72,Pic Adrian,Romanian,male,1910,
74,Roy Adzak,British,male,1927,1987.0
76,Nicholas Africano,American,male,1948,
77,Afro (Afro Basaldella),Italian,male,1912,1976.0
78,Aftograf,Russian,,,
79,Agam (Yaacov Agam),Israeli,male,1928,
80,Mehemed Fehmy Agha,American,male,1896,1978.0
81,Kathleen Agnoli,American,female,1945,
82,Peter Agostini,American,male,1913,1993.0
83,Olympe Aguado de las Marismas,French,male,1827,1894.0
84,Dongkuk S. Ahn,American,male,1937,2013.0
85,Aarne Aho,Finnish,male,1904,1978.0
86,Otl Aicher (also known as Otto Aicher),German,male,1922,1991.0
87,Lucien Aigner,American,male,1901,1999.0
88,Gregory Ain,American,male,1908,1988.0
89,Edgar Ainsworth,British,male,1906,1975.0
91,Roberto Aizenberg,Argentine,male,1928,1996.0
92,Kinji Akagawa,Japanese,male,1940,
93,Ryoji Akiyama,Japanese,male,1942,
94,Munira Al-Kazi,Kuwaiti,female,1939,
95,Alastair (Hans H. Voight),German,male,1887,1969.0
96,Anni Albers,American,female,1899,1994.0
97,Josef Albers,American,male,1888,1976.0
98,Beatrice Albert,American,female,,
99,Joan Albert,American,female,1943,2012.0
