,activePlaceCount,birthYear,date,fc,gender,id,mda,movements,startLetter,totalWorks,url,birth.place.name,birth.place.placeName,birth.place.placeType,birth.time.startYear,death.place.name,death.place.placeName,death.place.placeType,death.time.startYear,json_path,dict,dict_sub,dict_sub_sub,file_name,activePlaces
0,0,1915.0,1915–2007,Sir Norman Reid,Male,1824,"Reid, Sir Norman",[],R,3,http://www.tate.org.uk/art/artists/sir-norman-reid-1824,"Edinburgh, United Kingdom",Edinburgh,inhabited_place,1915.0,"London, United Kingdom",London,inhabited_place,2007.0,clone/artists/r/reid-sir-norman-1824.json,clone,artists,r,reid-sir-norman-1824.json,
1,1,1942.0,born 1942,Lis Rhodes,Female,16111,"Rhodes, Lis",[],R,1,http://www.tate.org.uk/art/artists/lis-rhodes-16111,"London, United Kingdom",London,inhabited_place,1942.0,,,,,clone/artists/r/rhodes-lis-16111.json,clone,artists,r,rhodes-lis-16111.json,"[{'name': 'London, United Kingdom', 'placeName': 'London', 'placeType': 'inhabited_place'}]"
2,0,1959.0,born 1959,Carol Rhodes,Female,2699,"Rhodes, Carol",[],R,2,http://www.tate.org.uk/art/artists/carol-rhodes-2699,"Edinburgh, United Kingdom",Edinburgh,inhabited_place,1959.0,,,,,clone/artists/r/rhodes-carol-2699.json,clone,artists,r,rhodes-carol-2699.json,
3,0,1865.0,1865–1942,Egide Rombaux,Male,1862,"Rombaux, Egide",[],R,1,http://www.tate.org.uk/art/artists/egide-rombaux-1862,België,België,nation,1865.0,,,,1942.0,clone/artists/r/rombaux-egide-1862.json,clone,artists,r,rombaux-egide-1862.json,
4,0,1971.0,born 1971,Clunie Reid,Female,14791,"Reid, Clunie",[],R,1,http://www.tate.org.uk/art/artists/clunie-reid-14791,"Pembury, United Kingdom",Pembury,inhabited_place,1971.0,,,,,clone/artists/r/reid-clunie-14791.json,clone,artists,r,reid-clunie-14791.json,
5,0,1862.0,1862–1943,Sir William Reynolds-Stephens,Male,1833,"Reynolds-Stephens, Sir William",[],R,1,http://www.tate.org.uk/art/artists/sir-william-reynolds-stephens-1833,"Detroit, United States",Detroit,inhabited_place,1862.0,"Royal Tunbridge Wells, United Kingdom",Royal Tunbridge Wells,inhabited_place,1943.0,clone/artists/r/reynolds-stephens-sir-william-1833.json,clone,artists,r,reynolds-stephens-sir-william-1833.json,
6,0,1907.0,1907–2002,George Rickey,Male,1844,"Rickey, George",[],R,2,http://www.tate.org.uk/art/artists/george-rickey-1844,"South Bend, United States",South Bend,inhabited_place,1907.0,"East Chatham, United States",East Chatham,inhabited_place,2002.0,clone/artists/r/rickey-george-1844.json,clone,artists,r,rickey-george-1844.json,
7,0,1837.0,1837–1888,Matthew White Ridley,Male,449,"Ridley, Matthew White",[],R,1,http://www.tate.org.uk/art/artists/matthew-white-ridley-449,"Newcastle upon Tyne, United Kingdom",Newcastle upon Tyne,inhabited_place,1837.0,"Chiswick, United Kingdom",Chiswick,neighbourhood,1888.0,clone/artists/r/ridley-matthew-white-449.json,clone,artists,r,ridley-matthew-white-449.json,
8,0,1723.0,1723–1792,Sir Joshua Reynolds,Male,444,"Reynolds, Sir Joshua","[{'era': {'id': 290, 'name': '18th century'}, 'id': 341, 'name': 'Fancy Picture'}, {'era': {'id': 290, 'name': '18th century'}, 'id': 6210, 'name': 'Grand Manner'}]",R,44,http://www.tate.org.uk/art/artists/sir-joshua-reynolds-444,"Plympton, United Kingdom",Plympton,inhabited_place,1723.0,"London, United Kingdom",London,inhabited_place,1792.0,clone/artists/r/reynolds-sir-joshua-444.json,clone,artists,r,reynolds-sir-joshua-444.json,
9,0,1958.0,born 1958,Thomas Ruff,Male,2602,"Ruff, Thomas",[],R,5,http://www.tate.org.uk/art/artists/thomas-ruff-2602,"Zell am Harmersbach, Deutschland",Zell am Harmersbach,inhabited_place,1958.0,,,,,clone/artists/r/ruff-thomas-2602.json,clone,artists,r,ruff-thomas-2602.json,
